"FOODID","FOODNAME","CALORIES","CARBS","PROTEIN","FAT"
"304","TURNIP","21.27","2.5","1.2","0.1"
"305","BEETROOT, RED BEET","44.46","8","1.4","0.1"
"307","BEETROOT, PICKLED","35.61","6.7","1","0.2"
"308","RADISH","12.19","1.5","0.7","0.1"
"309","PARSNIP","63.81","10.3","1.1","0.6"
"310","JERUSALEM ARTICHOKE","52.1","2.9","1.8","0.1"
"311","CELERIAC, TURNIP-ROOTED CELERY, KNOB CELERY, CELERY ROOT","22.47","2.7","1.3","0.1"
"312","BLACK SALSIFY","62.86","10.5","0.5","0.4"
"313","FROZEN VEGETABLE MIX, ROOT VEGETABLES, CARROT-SWEDE-CELERIAC-LEEK","33.94","5.4","1.1","0.2"
"320","WHITE CABBAGE","31.31","5","1.2","0.1"
"321","RED CABBAGE","28.68","4.2","1.5","0.1"
"322","CAULIFLOWER","24.38","2.4","2","0.2"
"324","BROCCOLI","34.89","1.6","3.9","0.5"
"326","KALE","38.24","1.8","2.7","0.8"
"327","BRUSSELS SPROUT","41.35","3.9","3.6","0.1"
"329","KOHLRABI","32.27","4.7","1.9","0.1"
"330","LETTUCE","12.67","1","1.1","0.2"
"331","ICEBERG LETTUCE","12.91","1","1.1","0.2"
"333","PARSLEY","27.25","1.1","1.4","0.2"
"334","NETTLE, STINGING NETTLE","43.02","0.8","6.2","0.2"
"335","ONION","29.4","4.8","1.3","0.1"
"336","ONION, DRIED","264.1","35.1","10.5","0.7"
"337","LEEK","22.94","2.4","1.8","0.2"
"338","RHUBARB","33.7","5.5","0.7","0.1"
"339","CELERY","12.67","1.1","1.1","0.2"
"340","ASPARAGUS, CANNED","15.3","1.2","1.3","0.2"
"342","MUSHROOM, BOLETUS, RUSSULA","32.03","2.9","3","0.5"
"343","MUSHROOM, MILK CAPS, SALTED","23.42","2.3","1.6","0.5"
"344","MUSHROOM IN VINEGAR","38.24","5.3","1.6","0.5"
"345","CHAMPIGNON, FRESH","15.06","0.3","2.1","0.2"
"346","CUCUMBER","11.23","1.4","0.7","0.1"
"347","CUCUMBER, PICKLED CUCUMBER, WITHOUT ADDED SUGAR","11.47","1.3","0.7","0.1"
"348","PICKLED CUCUMBER, SWEET, FLAVOURED","19.84","3","0.7","0.1"
"350","PUMPKIN","15.77","2","0.8","0.1"
"351","SALAD, PICKLED PUMPKIN","76.96","17","0.7","0.2"
"352","TOMATO","22.71","3.5","0.6","0.3"
"353","TOMATO KETCHUP","91.54","19.2","1.3","0.4"
"354","TOMATO PUREE","58.32","8","4.5","0.5"
"355","SWEET PEPPER, AVERAGE","28.44","4.2","0.9","0.4"
"356","MIXED VEGETABLES, CARROT, CAULIFLOWER, PEA, BEAN","27.96","2.9","2.3","0.2"
"358","VEGETABLE JUICE","32.74","6.8","0.6","0.2"
"359","CHINESE CABBAGE","14.58","1.6","1.2","0.1"
"360","SWISS CHARD","17.21","1.5","1.4","0.3"
"362","AUBERGINE","22.47","3.1","0.5","0.2"
"363","SWEET CORN KERNELS","134.56","25.6","2.8","1.4"
"364","GARDEN CRESS","27.25","0.7","1.4","1.4"
"367","CHANTERELLE","26.53","1.5","2","0.7"
"368","FALSE MOREL","21.75","0.5","1.8","0.7"
"369","DILL, FRESH","29.64","0.9","3.7","0.8"
"370","PEA, GREEN","75.29","9.5","5.6","0.8"
"371","PEA, GREEN, DRIED","244.98","27.2","19.4","1.6"
"372","BEAN, GREEN BEAN, STRING BEAN","35.61","4.8","2.1","0.3"
"373","BEAN, COMMON BEAN, BROWN BEAN, WHITE BEAN, AVERAGE","305.21","39.5","22.2","1.5"
"375","NUT, HAZELNUT","644.12","3.4","14.1","61"
"376","NUT, WALNUT","664.44","3.2","15.2","65.2"
"377","CHESTNUT","194.79","36.6","3.4","2.2"
"378","NUT, PEANUT","551.39","12.5","25.6","43"
"379","ALMOND","601.58","6.6","24.1","51.2"
"380","FLOUR, SOYA FLOUR, FULL FAT","466.54","23.5","34.5","23.5"
"381","FLOUR, SOYA FLOUR, LOW-FAT","390.77","28.4","45.3","7.2"
"382","COCONUT FLAKE","660.85","6.4","8.1","64.5"
"383","NUT, PEANUT, SALT","552.1","12.7","25.6","43"
"384","BEANSPROUTS AND ALFALFA SPROUTS, AVERAGE","35.85","2.6","4","0.7"
"385","SESAME SEED, WITH HULL","607.79","0.9","23.5","54.8"
"386","SWEET PEPPER, RED","28.44","4.5","0.9","0.3"
"387","SWEET PEPPER, GREEN","21.27","2.5","0.9","0.3"
"388","SWEET PEPPER, YELLOW","30.11","5.1","0.9","0.2"
"389","ZUCCHINI, SUMMER SQUASH","18.4","2.5","0.7","0.4"
"390","TOMATO JUICE, UNSWEETENED","22.23","3.4","0.6","0.3"
"391","SOYA BEANS, DRIED","374.04","10.3","35.9","17.7"
"392","CHIVES","25.1","0.7","2.2","0.9"
"393","GARLIC","108.27","16.3","7.9","0.6"
"394","SALAD, SWEET PICKLE RELISH","69.79","15.9","0.4","0.1"
"395","BEAN, WHITE BEAN, BOILED","111.14","14","8.3","0.8"
"396","FROZEN VEGETABLE MIX, PEA-SWEET CORN-SWEET PEPPER","82.46","13.1","3.2","0.8"
"398","TOMATOES, CRUSHED, CANNED","22.71","3.5","0.6","0.2"
"399","LENTILS, GREEN/BROWN, DRIED","311.66","45.7","24.4","1.1"
"401","APPLE, DRIED","276.53","60.2","1","0.3"
"408","APRICOT, CANNED, IN SYRUP","73.37","16","1","0.1"
"409","APRICOT, DRIED","220.6","43.4","5.2","0.5"
"411","PEACH, CANNED, IN SYRUP","66.44","15.2","0.3","0.1"
"412","PEACH, DRIED","280.35","52.9","5.9","1"
"417","PINEAPPLE, CANNED, IN SYRUP","73.61","16.6","0.5","0.1"
"423","GRAPE, AVERAGE, GREEN OR RED, SEEDLESS","73.61","15.5","0.6","0.4"
"427","MIXED FRUIT, DRIED","222.75","43.9","3.5","0.8"
"428","RAISIN","289.91","60.1","2.2","0.5"
"431","OLIVE, AVERAGE, WITH STONE, IN OIL, GREEN/BLACK","152.72","0","1.1","16"
"432","FRUIT COCKTAIL, IN SYRUP","87.72","19.2","0.8","0.4"
"433","APPLE JUICE, UNSWEETENED, VITAMIN C","49.95","10.7","0.2","0.5"
"434","ORANGE JUICE, UNSWEETENED, VITAMIN C","46.13","10","0.6","0.1"
"435","GRAPEFRUIT JUICE, UNSWEETENED, VITAMIN C","41.83","9","0.6","0.2"
"436","FRUIT JUICE, UNSWEETENED, VITAMIN C, AVERAGE","44.69","10.2","0.2","0.3"
"437","LEMON JUICE, UNSWEETENED, DILUTED","14.1","1.6","0.2","0"
"438","PINEAPPLE JUICE, UNSWEETENED, VITAMIN C","59.27","13.4","0.5","0.1"
"440","LINGONBERRY, COWBERRY","55.93","8.9","0.5","0.7"
"441","CRANBERRY","32.03","4.6","0.4","0.1"
"442","BLUEBERRY, BILBERRY","64.77","10.2","0.8","1.1"
"444","BLACKCURRANT","74.09","9.7","1.4","1.1"
"445","REDCURRANT","56.64","7.5","1.4","0.4"
"446","GOOSEBERRY","39.91","5.4","0.9","0.4"
"447","STRAWBERRY","44.69","7.7","0.5","0.3"
"448","RASPBERRY","47.56","5.7","1","0.8"
"449","CLOUDBERRY","55.21","6.8","1.5","1.1"
"450","MIXED BERRY JAM","161.57","38","0.3","0.1"
"451","BERRY JUICE, SWEETENED, UNDILUTED, HOME-MADE","208.65","48.2","0.9","0.6"
"452","BLACKCURRANT JUICE, SWEETENED, UNDILUTED, HOME-MADE","178.06","42","0.8","0"
"453","BERRY JUICE, UNSWEETENED, UNDILUTED, HOME-MADE","38","7.8","0.6","0"
"454","BERRY, AVERAGE","50.91","7.2","0.9","0.6"
"455","SEA BUCKTHORN BERRY","56.64","2.2","1.5","3.2"
"456","BERRY MARMALADE","196.94","46.6","0.7","0.1"
"457","ROWANBERRY, SORBUS","74.81","4.3","1.1","1.2"
"458","JUICE DRINK, BLACKCURRANT-LINGONBERRY, CONTAINS SUGAR","73.37","17.3","0.1","0.3"
"459","JUICE DRINK, LINGONBERRY, UNDILUTED, CONTAINS SUGAR","70.98","16.8","0","0.3"
"461","BERRY JUICE, SWEETENED, DILUTED, HOME-MADE","41.83","9.6","0.2","0.1"
"462","BLACKCURRANT JUICE, SWEETENED, DILUTED, HOME-MADE","35.61","8.4","0.2","0"
"463","BERRY JUICE, UNSWEETENED, DILUTED, HOME-MADE","7.65","1.6","0.1","0"
"469","FRUIT JUICE, FIVE FRUITS, UNSWEETENED, VITAMIN C","47.08","10.3","0.6","0.2"
"471","PINEAPPLE, CANNED, IN OWN JUICE","52.58","11.2","0.4","0.1"
"472","APPLESAUCE, UNSWEETENED","44.93","9.5","0.2","0.1"
"473","FRUIT NECTAR, BERRY NECTAR, SWEETENED, 50% FRUIT","49.24","11.4","0.3","0.1"
"474","BERRY JUICE, UNSWEETENED","33.46","6.1","0.7","0.2"
"476","JAM, SWEETENED WITH FRUCTOSE","144.6","33.5","0.1","0.3"
"477","MUSKMELON/CANTALOUPE MELON, WITHOUT SKIN","22.71","4.1","0.6","0.2"
"478","BERRY NECTAR DRINK, SWEETENED, CONTAINS 50% BERRIES","127.15","29.3","0.6","0.4"
"500","BUTTER","727.06","0.8","1.2","81.3"
"501","(ARC)BLENDED SPREAD 80%","714.63","0.6","1.2","80"
"516","HARD MARGARINE  80%, SUNNUNTAI, FOR BAKING, LOW-LACTOSE","711.28","0.5","0","80.2"
"528","(ARC)CATERING FAT FOR DEEP FRYING 100%","879.54","0.4","0.6","99"
"529","MARGARINE, PASTRY, 80% FAT, INDUSTRIAL","707.46","0","0","80"
"530","CATERING MARGARINE FOR BAKING, 80% FAT","708.89","0","0.4","80"
"531","CATERING OIL, 70% RAPESEED OIL, 30% PALM OIL","884.32","0","0","100"
"535","RAPESEED OIL","884.32","0","0","100"
"536","OLIVE OIL","884.32","0","0","100"
"537","PEANUT OIL","884.32","0","0","100"
"540","SUNFLOWER OIL","884.32","0","0","100"
"541","COOKING OIL, AVERAGE, 87% RAPESEED, 8% SUNFLOWER,AND 5% OLIVE OIL","883.37","0","0","99.9"
"542","SOYBEAN OIL","883.37","0","0","99.9"
"543","CORN OIL, MAIZE OIL","883.37","0","0","99.9"
"550","LARD, FRYING FAT","858.27","0","1.2","96.5"
"552","COCONUT BUTTER","883.37","0","0","99.9"
"553","TALLOW, BEEF FAT","880.5","0","1.2","99"
"562","MAYONNAISE, 60% FAT","545.65","2.1","1.5","60"
"563","SALAD DRESSING, FRENCH DRESSING WITH MUSTARD","420.89","11.2","0.1","42.3"
"565","BLENDED SPREAD 40%, KEVYT LEVI, LOW-SODIUM, LOW-LACTOSE","390.3","2","7","40"
"568","MARGARINE 60%, RAINBOW/PIRKKA/ELDORADO/K-MENU","534.42","0.7","0.9","60"
"570","BLENDED SPREAD 40%, KEVYT LEVI, LOW-LACTOSE","378.11","2","4","40"
"572","(ARC)MARGARINE 40%, L�TTA","376.91","3","0.4","40"
"576","BUTTER, UNSALTED","727.06","0.8","1.2","81.3"
"578","MAYONNAISE, 27-33% FAT","296.61","6.2","1.5","30"
"579","SALAD DRESSING, <17% FAT, LOW-FAT","118.79","9.4","0.2","9"
"585","BUTTER, HIGH-SODIUM","727.06","0.8","1.2","81.3"
"586","(ARC)BLENDED SPREAD 80%, HIGH-SODIUM","714.63","0.6","1.2","80"
"593","MARGARINE FOR BAKING 80%, PIRKKA/RAINBOW","710.33","0.4","0.8","80"
"597","BLENDED SPREAD 75%, AVERAGE OF INDUSTRIAL PRODUCTS","668.26","0.8","0.4","75.1"
"598","BUTTER OIL 100%, MILKFAT","886.95","0","0.6","100"
"599","(ARC)VEGETABLE FAT SPREAD 32%, BENECOL LIGHT","296.37","0.6","2.7","32"
"600","MILK, RAW MILK, 4.4 % FAT, WITHOUT ADDED VITAMIN D","71.22","4.8","3","4.4"
"602","BEESTINGS, COLOSTRUM","65.73","4","4.6","3.4"
"604","MILK, GOAT MILK","65.73","4.5","3.2","3.9"
"606","MILK, 0% FAT, I UG ADDED VITAMIN D","33.94","4.9","3.1","0.1"
"611","SOUR MILK, 0.8% FAT","38.48","3.6","3.4","0.8"
"612","SOUR MILK, 1 UG VITAMIN D","29.88","3.6","2.9","0.1"
"613","SOUR MILK, BUTTER MILK","34.42","4.2","3.2","0.2"
"615","SOUR CREAM, 10-12% FAT","132.41","3.2","2.6","12"
"616","SOUR MILK, ACIDOPHILUS, 2.5% FAT, 1 UG VITAMIN D, PROBIOTICS","51.15","3.5","2.8","2.5"
"617","CURD MILK, PLAIN, 3.5% FAT","62.62","3.5","3","3.5"
"618","CURD MILK, PLAIN, 2.5% FAT","48.76","3.6","2.9","2.5"
"619","YOGHURT, PLAIN, 2.5% FAT, LOW-LACTOSE","60.23","5","3.2","2.5"
"620","YOGHURT, PLAIN, BULGARIAN, 9% FAT","64.53","3.4","3","3.9"
"622","QUARK, <0.5% FAT","59.27","3","9.8","0.4"
"627","MILK, 1% FAT, 1 UG ADDED VITAMIN D","42.78","4.8","3.4","1"
"628","CREME FRAICHE, 28% FAT","277.25","3","2","28"
"629","WHIPPING CREAM, 38% FAT, LOW-LACTOSE, ULTRA-HEAT-TREATED","362.57","2.7","1.9","38"
"630","SOUR CREAM, 40% FAT","390.06","2.2","2.1","42"
"631","WHIPPING CREAM, 38% FAT","355.64","2.9","1.9","38"
"632","COOKING CREAM, 19% FAT","205.31","4","2.4","19"
"633","CREAM, LOW-FAT, 1O% FAT, LOW-LACTOSE","119.98","4.5","3.1","10"
"635","COTTAGE CHEESE, FAT-FREE, LOW-LACTOSE","82.93","2","18","0.2"
"636","CURD MILK, FLAVOURED WITH JAM, 1% FAT, LOW-LACTOSE","65.25","11.4","2.5","0.8"
"637","YOGHURT, PLAIN, FAT-FREE, LOW-LACTOSE, 0.5 UG VITAMIN D","34.18","5","3.1","0.1"
"639","YOGHURT, FLAVOURED, FAT-FREE","71.22","14.2","2.8","0.1"
"640","CHEESE, WHITE MOULD CHEESE, CAMEMBERT/BRIE, 26-30% FAT","330.54","0","20.8","27.2"
"641","CHEESE, TURUNMAA/OLTERMANNI, 30% FAT","373.57","0","22.3","32"
"642","CHEESE, EMMENTAL, 27-30% FAT, RED-LABEL","378.59","0","27.9","30"
"643","CHEESE, HARD CHEESE, EDAM TYPE, 24-27% FAT","340.58","0","26.5","25.7"
"644","CHEESE, SEMI-HARD CHEESE, EDAM/KADETT, 9-11% FAT","214.39","0","31","10"
"645","CHEESE, HARD CHEESE, GOAT CHEESE, 20-25% FAT","351.58","3.6","12","32.6"
"647","PROCESSED CHEESE, 20-24% FAT","297.8","2.5","18.6","24"
"648","PROCESSED CHEESE, 27-35% FAT","331.02","2","12","31"
"649","COTTAGE CHEESE, 2-5% FAT","92.02","2.5","15.8","2"
"650","CHEESE, HOME-MADE FRESH CHEESE, 9-14% FAT","198.61","4.3","20.2","11"
"653","CHEESE, BLUE CHEESE, AURA/DANAZOLE, AVERAGE, 27-30% FAT","338.43","0","20.2","29"
"654","CHEESE, GOUDA, AVERAGE, 28-30% FAT","375.24","0","23.5","31"
"655","CHEESE, SEMI-HARD CHEESE, LAPPI/SM�LAND/BILLINGE/RUSTHOLLI, 25-35% FAT","364.48","0","27.9","28.4"
"657","CHEESE, FINNISH OVEN CHEESE, 17-23% FAT","277.01","2.5","18.6","21"
"658","CREAM CHEESE, 36-44% FAT, KASAKKA/MUSTA-PEKKA","347.28","7.2","12","30"
"659","PROCESSED CHEESE, 9-12% FAT, LOW-FAT","179.02","3.1","17","11"
"661","SOFT ICE CREAM WITH WAFER","149.86","14.1","4.1","8.5"
"663","ICE CREAM, CREAM BASED","183.56","17.3","3.9","11"
"664","ICE CREAM BAR, CREAM BASED, CHOCOLATE-COATED","268.64","23","5.1","17.8"
"665","ICE CREAM CORNET, CREAM BASED","221.8","24.9","4.1","11.6"
"666","ICE CREAM, MILK BASED","152.25","17.9","4.2","7"
"667","ICE CREAM, ARTIFICIALLY SWEETENED, 6.5% FAT","157.27","17.4","6.9","6.6"
"668","ICE CREAM, CREAM BASED, >12% FAT","209.37","16.7","3.9","14.2"
"669","(ARC)ICE CREAM, FAT-FREE","128.59","24","5.6","0.5"
"672","MILK POWDER, FAT-FREE MILK","355.64","52.9","32.4","1"
"675","MILK, 1.5% FAT, LOW-LACTOSE, 1 UG ADDED VITAMIN D","45.65","4.8","3","1.5"
"680","CURD MILK, PLAIN, 1% FAT","36.57","3.6","3.1","1"
"682","CREAM CHEESE, 30% FAT, FLAVOURED, CREME BONJOUR/CANTADOU","304.97","4.2","3.5","30"
"684","MILK, 1.5% FAT, 1 UG ADDED VITAMIN D","45.65","4.8","3","1.5"
"685","YOGHURT, FLAVOURED, FAT-FREE, PARTIALLY ARTIFIALLY SWEETENED","55.45","6.7","5.9","0.1"
"686","YOGHURT, FLAVOURED, 7% FAT","121.18","14.3","2.8","7"
"687","YOGHURT, FAT 6-8%, FOR FOOD PREPARATION","103.49","4.5","3.1","8"
"689","MILK, 3.5% FAT, 1 UG ADDED VITAMIN D","63.34","4.8","3","3.5"
"690","CHEESE, FETA TYPE SALAD CHEESE IN BRINE, 18% FAT","230.16","1.7","14","18"
"691","CHEESE, EMMENTAL, 27-30% FAT, BLUE-LABEL","378.59","0","27.9","30"
"698","CHEESE, CHEDDAR TYPE, 34% FAT","412.76","0.1","25.6","34.4"
"699","COOKING CREAM, VEGETABLE FAT, 15% FAT","151.53","2.5","2.1","15"
"701","PORK, MEDIUM FAT","266.97","0","17.2","22.3"
"703","PORK CHOP, THICK LAYER OF FAT","252.63","0","18","20.3"
"704","HAM, FATTY","216.06","0","18.8","15.8"
"705","PORK SHOULDER","215.34","0","18.8","15.7"
"706","PORK RIBS","333.17","0","14.8","30.9"
"707","BACON, 32% FAT","344.17","0","14.2","32.4"
"708","FATBACK","785.85","0","2.5","87.7"
"709","PORK KNUCKLE, HAM HOCK","166.59","0","18.8","10.2"
"711","PORK BEEF MINCE","265.77","0","17.6","22"
"712","LEAN STEAK MINCE, 7% FAT","138.15","0","18.8","7"
"713","PORK, AVERAGE","195.27","0","18.9","13.4"
"714","BEEF, AVERAGE","143.16","0","16.9","8.4"
"716","BEEF, MEDIUM FAT, 13% FAT","189.53","0","19.7","12.4"
"718","BEEF ROUND","113.53","0","21.7","2.9"
"719","BEEF CHUCK, BEEF SHOULDER","116.63","0","21.2","3.5"
"720","BEEF KNUCKLE","142.45","0","21.4","6.3"
"721","BEEF BRISKET","153.44","0","19.9","8.2"
"722","BEEF SIRLOIN","128.59","0","22.9","4"
"723","BEEF FLANK","202.2","0","20","13.7"
"726","VEAL ROAST, RAW","109.46","0","22.7","2"
"730","LAMB, LOW-FAT","183.32","0","19","12"
"731","LAMB","233.99","0","16.3","19"
"732","LAMB ROAST","188.1","0","19.1","12.5"
"734","REINDEER","127.39","0","21.6","4.5"
"735","ELK","112.33","0","21.1","3"
"736","HARE","130.02","0","21.1","5"
"737","RABBIT","162.76","0","21.1","8.7"
"741","BEEF, CANNED","153.92","4","18.2","7.2"
"743","PORK AND BEEF, CANNED","251.91","5","16.1","18.8"
"747","BEEF JELLY","94.41","0","12.4","5"
"748","PORK ROAST, LEAN","120.46","0","20.8","4.1"
"750","CHICKEN","188.34","0","20.3","12"
"751","CHICKEN WITH SKIN","165.87","0","17.5","10.7"
"752","TURKEY WITH SKIN","137.19","0","22","5.4"
"753","GAME BIRD","122.13","0","20.3","4.5"
"754","CHICKEN STRIPS","122.61","0","21.3","4.1"
"775","HAM, SMOKED, 6% FAT","119.74","0","16.4","6"
"776","BEEF, CURED, 2.8% FAT","105.4","0","19.9","2.8"
"779","HAM, COOKED HAM, 3% FAT","100.62","0.6","17.6","3"
"786","LIVER, BEEF","136.47","5","20.3","3.8"
"787","LIVER, PORK","134.08","2.5","22.5","3.7"
"788","LIVER, CHICKEN","114.96","0.7","18.9","4"
"789","LIVER, REINDEER","118.55","0","22","3.3"
"790","LIVER, AVERAGE","131.93","4","19.6","4.1"
"791","KIDNEY","95.6","0","15.6","3.6"
"792","HEART, BEEF","98.95","0","16.5","3.6"
"793","TONGUE, BEEF","200.53","0","16.7","15"
"794","BLOOD","52.1","0.1","11.8","0.4"
